
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002196                       # Number of seconds simulated (Second)
simTicks                                   2195794000                       # Number of ticks simulated (Tick)
finalTick                                  2195794000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      3.12                       # Real time elapsed on the host (Second)
hostTickRate                                703745678                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     645992                       # Number of bytes of host memory used (Byte)
simInsts                                       139483                       # Number of instructions simulated (Count)
simOps                                         204742                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    44702                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      65616                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          2195795                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          217590                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         214634                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     45                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                12835                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             14676                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             2175318                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.098668                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              0.574018                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2067638     95.05%     95.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     73215      3.37%     98.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                      7460      0.34%     98.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      6069      0.28%     99.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      7203      0.33%     99.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      3997      0.18%     99.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      8939      0.41%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       515      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       282      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               2175318                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     256     75.52%     75.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     75.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     75.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     75.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     75.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     75.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     75.52% # attempts to use FU when none available (Count)
