
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000289                       # Number of seconds simulated (Second)
simTicks                                    288965000                       # Number of ticks simulated (Tick)
finalTick                                   288965000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.68                       # Real time elapsed on the host (Second)
hostTickRate                                425798157                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     645996                       # Number of bytes of host memory used (Byte)
simInsts                                        94410                       # Number of instructions simulated (Count)
simOps                                         147359                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   139095                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     217102                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           288966                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          160028                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         157075                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     42                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                12656                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             14573                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              267956                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.586197                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.170396                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    185939     69.39%     69.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     46443     17.33%     86.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     15369      5.74%     92.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     11637      4.34%     96.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                      3001      1.12%     97.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      1491      0.56%     98.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      3291      1.23%     99.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                       502      0.19%     99.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       283      0.11%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                267956                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     251     76.99%     76.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     76.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     76.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     76.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     76.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     76.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     76.99% # attempts to use FU when none available (Count)
