
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001390                       # Number of seconds simulated (Second)
simTicks                                   1389783000                       # Number of ticks simulated (Tick)
finalTick                                  1389783000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      8.12                       # Real time elapsed on the host (Second)
hostTickRate                                171257980                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     644984                       # Number of bytes of host memory used (Byte)
simInsts                                       859855                       # Number of instructions simulated (Count)
simOps                                        1785306                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   105955                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     219993                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          1389784                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         4793413                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        1                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        3912572                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 172400                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3008094                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           3711369                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1367446                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.861226                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.935800                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    617142     45.13%     45.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     33847      2.48%     47.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     94992      6.95%     54.55% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                      1330      0.10%     54.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     79655      5.83%     60.48% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    110143      8.05%     68.53% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    197223     14.42%     82.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    232834     17.03%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       280      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1367446                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  279827     99.97%     99.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     99.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     99.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     99.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     99.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     99.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     99.97% # attempts to use FU when none available (Count)
