
---------- Begin Simulation Statistics ----------
simSeconds                                   0.056435                       # Number of seconds simulated (Second)
simTicks                                  56434736000                       # Number of ticks simulated (Tick)
finalTick                                 56434736000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    273.59                       # Real time elapsed on the host (Second)
hostTickRate                                206276395                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     702080                       # Number of bytes of host memory used (Byte)
simInsts                                     48413560                       # Number of instructions simulated (Count)
simOps                                       86500554                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   176958                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     316171                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         56434737                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        97758806                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   917797                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       95019377                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   8963                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12176043                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14421439                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 131                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            56333398                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.686733                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.037022                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  24817131     44.05%     44.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9517664     16.90%     60.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5467681      9.71%     70.66% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4777981      8.48%     79.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3364515      5.97%     85.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4808250      8.54%     93.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2545065      4.52%     98.16% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    818180      1.45%     99.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    216931      0.39%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              56333398                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   82388     25.26%     25.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     25.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     25.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     25.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     25.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     25.26% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     25.26% # attempts to use FU when none available (Count)
