
---------- Begin Simulation Statistics ----------
simSeconds                                   0.056458                       # Number of seconds simulated (Second)
simTicks                                  56457951000                       # Number of ticks simulated (Tick)
finalTick                                 56457951000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    286.17                       # Real time elapsed on the host (Second)
hostTickRate                                197289174                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     702080                       # Number of bytes of host memory used (Byte)
simInsts                                     48413712                       # Number of instructions simulated (Count)
simOps                                       86500844                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   169179                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     302272                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                         56457952                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        97761763                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   917803                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       95020762                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9000                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12178716                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14428410                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 137                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples            56352688                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.686180                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.036439                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  24826673     44.06%     44.06% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   9524535     16.90%     60.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5470940      9.71%     70.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   4780345      8.48%     79.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                   3361529      5.97%     85.11% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4811862      8.54%     93.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   2545883      4.52%     98.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    814780      1.45%     99.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                    216141      0.38%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total              56352688                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   82492     25.29%     25.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     25.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     25.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     25.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     25.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     25.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     25.29% # attempts to use FU when none available (Count)
